eventId,period,time,away_team,home_team,home_team_side,eventType,eventOwnerTeamId,losingPlayerId,winningPlayerId,xCoord,yCoord,zoneCode,hittingPlayerId,hitteePlayerId,blockingPlayerId,shootingPlayerId,reason,playerId,shotType,goalieInNetId,awaySOG,homeSOG,secondaryReason,typeCode,descKey,duration,committedByPlayerId,drawnByPlayerId,scoringPlayerId,scoringPlayerTotal,assist1PlayerId,assist1PlayerTotal,awayScore,homeScore,discreteClip,assist2PlayerId,assist2PlayerTotal,servedByPlayerId
256,1,16:27,FLA,VGK,right,stoppage,,,,,,,,,,,tv-timeout,,,,,,tv-timeout,,,,,,,,,,,,,,,
355,1,16:27,FLA,VGK,right,faceoff,13.0,8476905.0,8477933.0,-69.0,-22.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,
221,1,16:49,FLA,VGK,right,giveaway,54.0,,,-46.0,-39.0,O,,,,,,8476539.0,,,,,,,,,,,,,,,,,,,,
356,1,17:01,FLA,VGK,right,shot-on-goal,54.0,,,-85.0,5.0,O,,,,8475913.0,,,wrist,8475683.0,7.0,5.0,,,,,,,,,,,,,,,,
302,1,17:02,FLA,VGK,right,shot-on-goal,54.0,,,-89.0,4.0,O,,,,8475913.0,,,poke,8475683.0,7.0,6.0,,,,,,,,,,,,,,,,
222,1,17:03,FLA,VGK,right,stoppage,,,,,,,,,,,goalie-stopped-after-sog,,,,,,,,,,,,,,,,,,,,,
357,1,17:03,FLA,VGK,right,faceoff,13.0,8478403.0,8482113.0,-69.0,22.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,
358,1,17:18,FLA,VGK,right,goal,54.0,,,-79.0,-1.0,O,,,,,,,snap,8475683.0,,,,,,,,,8476539.0,10.0,8476905.0,7.0,1.0,1.0,6335749756112.0,8477447.0,8.0,
223,1,17:18,FLA,VGK,right,faceoff,54.0,8477493.0,8476448.0,0.0,0.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,
224,1,17:25,FLA,VGK,right,hit,13.0,,,-1.0,40.0,N,8471686.0,8478020.0,,,,,,,,,,,,,,,,,,,,,,,,
303,1,17:39,FLA,VGK,right,blocked-shot,13.0,,,81.0,6.0,D,,,8474565.0,8477493.0,,,,,,,,,,,,,,,,,,,,,,
359,1,17:39,FLA,VGK,right,shot-on-goal,13.0,,,76.0,9.0,O,,,,8477493.0,,,snap,8478499.0,8.0,6.0,,,,,,,,,,,,,,,,
360,1,17:56,FLA,VGK,right,blocked-shot,13.0,,,60.0,-19.0,D,,,8475191.0,8477986.0,,,,,,,,,,,,,,,,,,,,,,
225,1,18:00,FLA,VGK,right,hit,13.0,,,94.0,27.0,O,8477493.0,8474565.0,,,,,,,,,,,,,,,,,,,,,,,,
226,1,18:15,FLA,VGK,right,hit,13.0,,,-88.0,36.0,D,8479314.0,8478434.0,,,,,,,,,,,,,,,,,,,,,,,,
227,1,18:40,FLA,VGK,right,giveaway,13.0,,,-3.0,2.0,N,,,,,,8477932.0,,,,,,,,,,,,,,,,,,,,
361,1,18:55,FLA,VGK,right,missed-shot,54.0,,,-87.0,5.0,O,,,,8477964.0,wide-of-net,,wrap-around,8475683.0,,,,,,,,,,,,,,,,,,
367,1,18:58,FLA,VGK,right,blocked-shot,54.0,,,-64.0,-22.0,D,,,8477933.0,8475188.0,,,,,,,,,,,,,,,,,,,,,,
362,1,19:00,FLA,VGK,right,missed-shot,54.0,,,-32.0,-1.0,O,,,,8477447.0,wide-of-net,,wrist,8475683.0,,,,,,,,,,,,,,,,,,
365,1,19:21,FLA,VGK,right,missed-shot,54.0,,,-81.0,-1.0,O,,,,8477964.0,over-net,,tip-in,8475683.0,,,,,,,,,,,,,,,,,,
228,1,19:25,FLA,VGK,right,hit,54.0,,,-90.0,-31.0,O,8477964.0,8477932.0,,,,,,,,,,,,,,,,,,,,,,,,
229,1,19:28,FLA,VGK,right,stoppage,,,,,,,,,,,icing,,,,,,,,,,,,,,,,,,,,,
366,1,19:28,FLA,VGK,right,faceoff,54.0,8477933.0,8476905.0,-69.0,-22.0,O,,,,,,,,,,,,,,,,,,,,,,,,,,
230,1,19:35,FLA,VGK,right,giveaway,54.0,,,-60.0,-40.0,O,,,,,,8476905.0,,,,,,,,,,,,,,,,,,,,
231,1,19:43,FLA,VGK,right,hit,13.0,,,92.0,-29.0,O,8477933.0,8474565.0,,,,,,,,,,,,,,,,,,,,,,,,
232,1,20:00,FLA,VGK,right,period-end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,2,00:00,FLA,VGK,left,period-start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,2,00:00,FLA,VGK,left,faceoff,54.0,8477935.0,8478462.0,0.0,0.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,
237,2,00:16,FLA,VGK,left,giveaway,54.0,,,-26.0,-40.0,D,,,,,,8474565.0,,,,,,,,,,,,,,,,,,,,
238,2,00:18,FLA,VGK,left,hit,13.0,,,-28.0,-39.0,O,8471686.0,8478434.0,,,,,,,,,,,,,,,,,,,,,,,,
